customer_name,name,address
Exxonmobil,Memphis,
Exxonmobil,Baton Rouge,
Exxonmobil,Birkenhead,
Exxonmobil,Fredrikstad,
Exxonmobil,Hammond,
Exxonmobil,Des Plaines,
Exxonmobil,Irving,
Exxonmobil,North Houston,
Exxonmobil,South Houston,
Exxonmobil,Nashville,
Exxonmobil,Port Everglades,
Exxonmobil,San Antonio,
Exxonmobil,Trondheim,
Exxonmobil,Lockport,
Exxonmobil,Mokena,
Exxonmobil,St. James,
Exxonmobil,Hythe,
Exxonmobil,Tournai,
Exxonmobil,Bergen,
Exxonmobil,Trondheim,
Exxonmobil,Belgium,
Exxonmobil,Sclessin,
Exxonmobil,Sorrento,
 ,,
